Dataset,Country,Target,Pattern,Rate,Method,MAE,nRMSE,n_rolls_used
Influenza_Study,Brazil,INF_ALL,Sequence,0.3,SAITS,53.28077498890672,0.28201100841782334,3
Influenza_Study,Brazil,INF_ALL,Sequence,0.5,LOCF,130.97270843898878,0.7979102159770721,3
Influenza_Study,Brazil,INF_ALL,Sequence,0.5,Linear,67.60663101319224,0.6011792194854138,3
Influenza_Study,Brazil,INF_ALL,Sequence,0.5,SAITS,51.36634405434597,0.3200087417425138,3
Influenza_Study,Brazil,RSV,Block,0.1,LOCF,8.930119477212429,0.7409633064247365,3
Influenza_Study,Brazil,RSV,Block,0.1,Linear,20.356290690600872,2.257735581283532,3
Influenza_Study,Brazil,RSV,Block,0.1,SAITS,7.549572776793326,0.7080320343310537,3
Influenza_Study,Brazil,RSV,Block,0.3,LOCF,10.639058608561754,0.6522063497992763,3
Influenza_Study,Brazil,RSV,Block,0.3,Linear,10.639058608561754,0.6522063497992763,3
Influenza_Study,Brazil,RSV,Block,0.3,SAITS,7.416445562339149,0.5770080112494069,3
Influenza_Study,Brazil,RSV,Block,0.5,LOCF,10.639058608561754,0.6522063497992763,3
Influenza_Study,Brazil,RSV,Block,0.5,Linear,10.639058608561754,0.6522063497992763,3
Influenza_Study,Brazil,RSV,Block,0.5,SAITS,21.03752910282617,2.0085156336019336,3
Influenza_Study,Brazil,RSV,Point,0.1,LOCF,10.759531326591969,0.6747310503529741,3
Influenza_Study,Brazil,RSV,Point,0.1,Linear,10.51557489670813,0.8080872046780726,3
Influenza_Study,Brazil,RSV,Point,0.1,SAITS,7.3009285172203136,0.6667477903631378,3
Influenza_Study,Brazil,RSV,Point,0.3,LOCF,9.221742819994688,0.6697660253557856,3
Influenza_Study,Brazil,RSV,Point,0.3,Linear,10.349705079570413,0.6879495231234555,3
Influenza_Study,Brazil,RSV,Point,0.3,SAITS,5.053647107124334,0.6467433848076664,3
Influenza_Study,Brazil,RSV,Point,0.5,LOCF,10.863131582736969,0.7129342538454669,3
Influenza_Study,Brazil,RSV,Point,0.5,Linear,11.160633891820908,0.5688512352481714,3
Influenza_Study,Brazil,RSV,Point,0.5,SAITS,6.6354446535149805,0.9396243937603598,3
Influenza_Study,Brazil,RSV,Sequence,0.1,LOCF,6.807393211871386,0.7245415616681565,3
Influenza_Study,Brazil,RSV,Sequence,0.1,Linear,10.074218194559217,0.6790547603723501,3
Influenza_Study,Brazil,RSV,Sequence,0.1,SAITS,3.191032362241515,0.47852723150702325,3
Influenza_Study,Brazil,RSV,Sequence,0.3,LOCF,6.348095461726189,0.5111080269604269,3
Influenza_Study,Brazil,RSV,Sequence,0.3,Linear,9.827425930276513,0.5742438942600976,3
Influenza_Study,Brazil,RSV,Sequence,0.3,SAITS,3.2436523804974513,0.4811114367480546,3
Influenza_Study,Brazil,RSV,Sequence,0.5,LOCF,9.160481384024024,0.5352623833480122,3
Influenza_Study,Brazil,RSV,Sequence,0.5,Linear,8.557148779183626,0.9141823752858029,3
Influenza_Study,Brazil,RSV,Sequence,0.5,SAITS,4.748176609256319,0.5384248644892994,3
Influenza_Study,Germany,INF_ALL,Block,0.1,LOCF,12.266521625220776,,3
Influenza_Study,Germany,INF_ALL,Block,0.1,Linear,8.489753313362598,0.9463729109660839,3
Influenza_Study,Germany,INF_ALL,Block,0.1,SAITS,5.109539057705405,1.5633937485594518,3
Influenza_Study,Germany,INF_ALL,Block,0.3,LOCF,8.539940668269992,5.076412935999888,3
Influenza_Study,Germany,INF_ALL,Block,0.3,Linear,4.185040896758437,1.9875890932154372,3
Influenza_Study,Germany,INF_ALL,Block,0.3,SAITS,8.003322579869836,3.073670003702753,3
Influenza_Study,Germany,INF_ALL,Block,0.5,LOCF,2.518072262406349,2.0372111044250247,3
Influenza_Study,Germany,INF_ALL,Block,0.5,Linear,2.518072262406349,2.0372111044250247,3
Influenza_Study,Germany,INF_ALL,Block,0.5,SAITS,3.913915455509824,1.9661451409039705,3
Influenza_Study,Germany,INF_ALL,Point,0.1,LOCF,3.4080707039684057,3.3577691976063773,3
Influenza_Study,Germany,INF_ALL,Point,0.1,Linear,7.261449301615357,7.137231637868086,3
Influenza_Study,Germany,INF_ALL,Point,0.1,SAITS,4.423998429236631,3.0250709109146947,3
Influenza_Study,Germany,INF_ALL,Point,0.3,LOCF,4.722213307395577,2.550543840490471,3
Influenza_Study,Germany,INF_ALL,Point,0.3,Linear,8.386460300534964,5.750472960584252,3
Influenza_Study,Germany,INF_ALL,Point,0.3,SAITS,4.044005342865082,0.4095260973625146,3
Influenza_Study,Germany,INF_ALL,Point,0.5,LOCF,2.646466687321662,0.8984955457412194,3
Influenza_Study,Germany,INF_ALL,Point,0.5,Linear,4.154645748436451,8.894830089805625,3
