Dataset,Country,Target,Pattern,Rate,Method,MAE,RMSE,KL_Div,MASE
COVID19_Study,Czechia,new_cases,Block,0.1,MICE,3821.541063913338,4143.123612654849,13.640257758143228,2.613238539199076
COVID19_Study,Czechia,new_cases,Block,0.1,SAITS,1565.9201483475535,2125.906151698314,10.190554504394502,1.0708043725113716
COVID19_Study,Czechia,new_cases,Block,0.3,mean,4050.8190857918826,4952.619650020003,13.84986519201397,2.904890585426409
COVID19_Study,Czechia,new_cases,Block,0.3,median,4317.6549707602335,6221.497390791523,13.653062383761652,3.096241774823444
COVID19_Study,Czechia,new_cases,Block,0.3,most_frequent,4630.350877192983,6727.578133177771,7.728340607124965,3.320479731508271
COVID19_Study,Czechia,new_cases,Block,0.3,LOCF,4576.19298245614,6688.474903743879,7.743813212029197,3.2816424605229106
COVID19_Study,Czechia,new_cases,Block,0.3,Linear,3005.3922050023016,4542.932411756606,4.95282902329937,2.1552025249526627
COVID19_Study,Czechia,new_cases,Block,0.3,Rolling,4551.709064327485,6673.002863780986,6.92068801893353,3.2640847513880487
COVID19_Study,Czechia,new_cases,Block,0.3,MICE,2543.9397558285104,3407.010407842944,2.6582546951549206,1.824289480741788
COVID19_Study,Czechia,new_cases,Block,0.3,SAITS,4153.4704519349925,6067.730748023604,6.156246184821566,2.978503102000199
COVID19_Study,Czechia,new_cases,Block,0.5,mean,4084.871661175952,4813.479440878413,13.850929513640247,2.477431075335819
COVID19_Study,Czechia,new_cases,Block,0.5,median,3357.668126094571,5429.6396071940635,13.697964537382452,2.036389890853164
COVID19_Study,Czechia,new_cases,Block,0.5,most_frequent,3619.138353765324,5963.100307890307,7.554786056106771,2.194968793946578
COVID19_Study,Czechia,new_cases,Block,0.5,LOCF,3563.889667250438,5928.678816535116,7.4248176065049645,2.161461055100246
COVID19_Study,Czechia,new_cases,Block,0.5,Linear,6851.92550181867,8800.844546907547,0.7892744006403201,4.155619704146285
COVID19_Study,Czechia,new_cases,Block,0.5,Rolling,3503.1208406304727,5793.79955365656,7.407474178879231,2.1246054101822227
COVID19_Study,Czechia,new_cases,Block,0.5,MICE,4408.342735242754,4893.604351700027,8.23691559643535,2.673612830195322
COVID19_Study,Czechia,new_cases,Block,0.5,SAITS,3123.843073455757,5164.627260848895,3.902460719971569,1.894577491431864
COVID19_Study,Montenegro,new_cases,Point,0.1,mean,385.9488362824805,774.8382316263003,17.387973761390477,0.8843080676805632
COVID19_Study,Montenegro,new_cases,Point,0.1,median,208.47967479674796,802.3386396546828,1.23836177168052,0.4776805655018195
